"koordinate "	"id. Broj"	"naziv djela"	"ime autora"	"prezime autora"	"godina nastanka"	"tehnika"	"format"	"vlasnik"	"link vlasnik"	"foto kredits"	"glavni narativ uz djelo )pojavljije se kao prvi pasus)"	"sekundarni narativ uz djelo, slijedi nakon prvog, služi obično da se povežu pojedine tačke"	"narativ za koji se veže. Ako ih ima više razdvojiti ih sa tačka zarez, npr: Miunović Milo;Boka kotorska; ovo se pojavljuje nakon teksta o jedinici "	"Column2"	"Column3"	"Column4"	"Column5"
"42.487576936259394, 18.696509712546266"	1518	"Perast"	"Cata (Katica)"	"Dujšin Ribar"	1956	"ulje na lesonitu"	"56x40,5"	"Muzej grada Trogira"		"Muzej grada Trogira"	"Palata Zmajević i kapelica pored nje kroz pogled frontalno. Slika je još tamnija u koloritu i sumornija u atmosferi. Forme su svedene na osnovne konture fasade i otvora, dok se jedina dinamika odvija u poslednjem planu upotrebom uskovitlanih linija i žutih akcenata."		"Cata Dujšin Ribar; Perast"				
"42.4863155266693, 18.698432610825197"	1519	"Perast"	"Cata (Katica)"	"Dujšin Ribar"	1961	"ulje na juti"	"46x66"	"Muzej grada Trogira"		"Muzej grada Trogira"	"Slikom dominiraju taman kolorit i uglavnom bezlične kamene fasade. U centralnom dijelu izdvaja se objekat sa zvonikom – palata Zmajević, posebno koloristički tretirana. Palata, zvonik a posebno manji objekat osvjetljeni su jakom svjetlošću i crvenim akcentima, stvarajući utisak sunca koje probija ispod oblaka. "	"Period šezdesetih godina označava još primjetnije apstrahovanje motiva."	"Cata Dujšin Ribar; Perast"				
"42.092587776792, 19.13301609670073"	1520	"Stari Bar"	"Cata (Katica)"	"Dujšin Ribar"	1968	"ulje na kartonu"	"47,5x67,5"	"Muzej grada Trogira"		"Muzej grada Trogira"	"Na kompoziciji dominiraju oker-smeđi tonovi sugerišući dominaciju kamena i na građevinama i pejzažu u prvom i drugom planu, sa zelenim akcentima. Objekti dati uglavnom u ruševinama stopljeni su sa pozadinom definisani samo konturno sa naglašenim vertikalama."		"Cata Dujšin Ribar; Bar"				
"42.446849091637375, 18.754542005531007"	1521	"Sveti Matija"	"Cata (Katica)"	"Dujšin Ribar"	1957	"uje na kartonu"	"67x47,5"	"Muzej grada Trogira"		"Muzej grada Trogira"	"Arhitektonska masa crkve - kameni zidovi, zvonik i krovne linije - oblikovana je mekim, raspršenim potezima koji umanjuju strogoću forme i daju prizoru blagu, gotovo akvarelnu atmosferu. Dominiraju svijetli okeri, sivi, zeleni i svijetloplavi tonovi. Kompaktna kompozicija iz prvog plana suprotstavljena je masivnim planinskim vrhovima koji se uzdižu u pozadini.   "	"Kao i mnoge njene kompozicije iz primorja i ova slika zrači tišinom i vedrinom mediteranskog podneblja, pretvarajući arhitekturu u poetski, pomalo dramatični pejzaž."	"Cata Dujšin Ribar; Kotor"				
	1522	"Boka Kotorska"	"Cata (Katica)"	"Dujšin Ribar"	1930	"ulje na platnu"	"22x30"	"Muzej grada Trogira"		"Muzej grada Trogira"	"Slika prikazuje prepoznatljiv motiv ostrva Gospe od Škrpjela gledanog iz pozicije Perasta, smještenog u mirnim vodama zaliva. U pozadini se uz obalu vide kuće u Kostanjici, dok se iznad njih uzdižu brda oblikovana u nekoliko suptilnih, hladnih tamnih nijansi plave i sivih tonova."	"Umjetnica akcentuje meditativnu atmosferu pejzaža zimi, oslanjajući se na pročišćene forme i odnos između svjetlih i tamnih partija koji potencira dramatiku, ujednačenu paletu koja naglašava tišinu i postojanost Boke."	"Cata Dujšin Ribar; Perast"				
"42.76420146406169, 19.388638658589453"	1531	"Manastir Morača"	"Ludvik"	"Kuba"				"Umjetnička galerija BiH"		"UGBiH"	"Pogled na manastir i okolne planine dok je u prvom planu most koji danas više ne postoji. Sjenčenje površina sa naglašenom fasadom crkve i vodopadom stvara dramatičnu atmosferu, a figure potenciraju utisak bilješke iz života."		"Ludvik Kuba; Podgorica"				
"42.76620015862274, 19.391021615085798"	1532	"Manastir Morača"	"Ludvik"	"Kuba"				"Umjetnička galerija BiH"		"UGBiH"	"Pogled na crkvu Uspenja Bogorodice manastira Morače sa apside. Manastir Morača, sa crkvom Uspenja Bogorodice, podignut je 1252. godine kao ktitorsko zdanje Stefana Nemanjića, sina zetskog kralja Vukana, o čemu svjedoči tekst urezan na ploči sa ktitorskim natpisom. Crkva predstavlja jedno od ključnih ostvarenja raške graditeljske škole XIII vijeka. Uz arhitekturu, naročit značaj ima fresko-slikarstvo, rađeno ubrzo nakon izgradnje, od kojeg su sačuvani samo fragmenti izuzetnog kvaliteta, naročito ciklus posvećen proroku Iliji. Prvobitni živopis je u velikoj mjeri uništen, a obnovljeni živopis izrađen je krajem XVI vijeka. Tom prilikom izrađen je i ikonostas sa velikim krstom (croce dipinta), jednim od najreprezentativnijih primjera postvizantijske umjetnosti u Crnoj Gori i širem regionu.

"		"Ludvik Kuba"				
"42.4678431836516, 19.263501703967282"	1533	"Stara Duklja"	"Ludvik"	"Kuba"		"lavirani tuš na papiru "	"31,5x48"	"Umjetnička galerija BiH"		"UGBiH"	"Prednji plan zauzimaju ostaci zidova, temelja i otkrivenih struktura – niz horizontalnih kamenih  fragmenata. Kuba koristi gustinu i smjer linija da sugeriše materijalnost kamena, suvoću terena i trošnost arheološkog lokaliteta"	"Duklja, nekadašnji rimski grad smješten na ravnici između Morače i Zete. Predstavlja jedno od najvažnijih arheoloških nalazišta u Crnoj Gori. Datira iz I vijeka pne. Kroz period antike i ranog srednjeg vijeka je predstavljala važan politički, kulturni i religiozni centar. Grad je bio opasan bedemima. Imao je kompletnu infrastrukturu, kanalizaciju, male i velike terme, baziliku, hramove posvećene boginjama Romi i Dijani i forum. Danas je u ruševinama, a pronađeni nalazi se čuvaju u Muzejima i galerijama Podgorice. "	"Ludvik Kuba; Podgorica"				
"42.49239103884947, 19.309381579223118"	1534	"Uz Moraču"	"Ludvik"	"Kuba"	1890	"lavirani tuš, bijela tempera na papiru"	"30x46"	"Umjetnička galerija BiH"		"UGBiH"	"Kompozicija prikazuje konjanike u tradicionalnoj nošnji kako se kreću putem uz tok rijeke. Vješto komponovanje figura u dramatičan, krševiti pejzaž."		"Ludvik Kuba; Podgorica"				
"42.4640590409248, 19.260537076973726"	1535	"Na Morači"	"Ludvik"	"Kuba"		"lavirani tuš na kartonu"	"18x28"	"Umjetnička galerija BiH"		"UGBiH"	"Predstava koja kombinuje dva kadra - prikaz ušća Morače i Zete i aktivnosti lova na jegulje uz pomoć karakterističnih vrša."		"Ludvik Kuba; Podgorica"				
"42.09430531328049, 19.134748485198"	1536	"Motiv iz Bara"	"Ludvik"	"Kuba"		"akvarel na papiru"	"19x26"	"Umjetnička galerija BiH"		"UGBiH"	"Na svojim putovanjima je bilježio ne samo ljude i predjele nego i neke  spomenike kulture poput  džamije Omerbašića u Starom Baru. Ekonomiju linije primjenjuje pri definisanju formi, igrajući se teksturama, svjetlim i tamnim partijama kako bi naglasio atmosferu."		"Ludvik Kuba; Bar"				
"42.09246263256574, 19.13263142961759"	1537	"Stari Bar"	"Ludvik"	"Kuba"		"lavirani tuš na papiru "	"29x44,5"	"Umjetnička galerija BiH"		"UGBiH"	"Pogled na Stari Bar u kojem se zaokružuje vizura utvrđenja. Obrađene građevine, okolna brda stvarajući utisak o atmosferi prostora."	"Kao panslavista krajem XIX i početkom XX vijeka putovao je Balkanom i istraživao lokalne kulture i detaljno opisivao običaje. U periodu od 1888-1893 putovao je Crnom Gorom i Hercegovinom, kada je nastao veliki broj likovnih djela i zapisa."	"Ludvik Kuba; Bar"				
"42.102195377185005, 19.088492314206615"	1538	"Rumija kod Bara"	"Ludvik"	"Kuba"		"lavirani tuš na papiru "	"14x29"	"Umjetnička galerija BiH"		"UGBiH"	"Uvala sa plažom sa nekoliko ljudi-ribara  i čamaca. Iza njih se, u drugom planu, izdiže prepoznatljiva planina Rumija, izvedena slojevito i suptilno sjenčenjem, čime stvara dubinu i atmosferu."		"Ludvik Kuba; Bar"				
"42.446511059397196, 18.754159022502773"	1539	"Motiv iz Boke "	"Antun"	"Šojat"	1934	"ulje na dasci"	"25x32"	"Umjetnička galerija BiH"		"UGBiH"	"Sasvim apstraktna kompozicija u sivim tonovima, sa ponekim zelenim elementom koji je potpuno stopljen sa predjelom. Izdvajaju se samo tamne konture kojima su naglašena brda."	"Njegova glavna inspiracija su bili Bokokotorski motivi – zaliv i predjeli iz okoline Prčanja, Kotora i ostrva ispred Perasta. Nekada predstavljeni preciznim oslikavanjem pejzaža, a nekada sasvim apstrahovano. Kolorit varira od intenzivnih plavih i crvenih do sasvim mrkih, nanijetih u slojevitim, gustim nanosima. "	"Antun Šojat"				
"42.45109747847144, 18.55288237092561"	1540	"Iz Herceg Novog"	"Milena "	"Šotra"		"ulje na lesonitu"	"50x70"	"Umjetnička galerija BiH"		"UGBiH"	"Kompozicija se temelji na kontrastu između zatvorenog, zelenog prvog plana i zalivskog prostranstva u daljini. Šotra naglašava atmosferu ljetne sparine i primorske svjetlosti, bez dramatike – sve je jednostavno, prirodno i mirno, uronjeno u ljetnju vrelinu. "		"Milena Šotra; Herceg Novi"				
	1543	"Ulcinj"	"Ahmed"	"Karić"		"ulje na šperploči"	"59,5x60,5"	"Umjetnička galerija BiH"		"UGBiH"	"Urbani predio realizovan gustim nanosima pastelnih tonova, asocirajući na impresionistički pristup. Skoro geometrizovane forme fasada oivičavaju kompoziciju nasuprot kružnim oblicima rastinja."		"Ahmed Karić; Herceg Novi"				
"42.45172482842428, 18.538489898089953"	1544	"Motiv iz Herceg Novog"	"Hakija"	"Kulenović"	1953	"ulje na lesonitu"	"40,5x50"	"Umjetnička galerija BiH"		"UGBiH"	"Pogled na Stari grad Herceg Novi iz pravca Karače. U pozadini se raspoznaju obrisi objekata  dok se u prvom planu izdvaja pješačka staza i raskošne krošnje sa rastinjem u cvijetu. Intenzivan kolorit doprinosi utisku i bogatstvu flore i sunčane atmosfere po kojoj je ovaj grad poznat. "		"Hakija Kulenović; Herceg Novi"				
"42.45268760294987, 18.5399058889404"	1545	"Herceg Novi"	"Dobrivoje Bobo"	"Samardžić"	1963	"tempera na papiru"	"26x36,5"	"Umjetnička galerija BiH"		"UGBiH"	"Apstraktna kompozicija sa pogledom na utvrđenje iznad Starog grada."		"Dobrivoje Bobo Samardžić; Herceg Novi"				
	1546	"Herceg Novi"	"Adela"	"Ber"		"drvorez na papiru"	"24,5x33,3"	"Umjetnička galerija BiH"		"UGBiH"	"Na grafici se zapaža naglasak na čistoj atmosferi i živom ritmu primorskog grada. Slikarka prikazuje karakteristične elemente novskog pejzaža — strme ulice, kamene kuće, masline i mediteransko rastinje — ali bez pretjerane naracije. Kompozicija je uglavnom zasnovana na kosim linijama terena i stepenastom usponu grada, što slici daje dinamiku i osjećaj kretanja."		"Adela Ber; Herceg Novi"				
	1547	"Ulaz U Boku Kotorsku"	"Leo"	"Arndt"		"akvarel na kartonu"	"21,5x32,5"	"Umjetnička galerija BiH"		"UGBiH"	"Pogled na ulazak u zaliv, sa konturama kuća i crkvom na uzvišenju. Izrazito tamni tonovi doprinose dramatičnoj atmosferi sugerišući noćni snimak ."		"Leo Arndt"				
"42.49998087978765, 18.72015519404782"	1551	"Bokokotorski zaliv, pogled iz ptičje perspektive sa crnogorskih visova"	"T."	"Taylor (atrib.)"	1877	"drvorez (gravure sur bois)"		"Les Bords de l’Adriatique et le Monténégro"		"Geoculture"	"Pogled na Bokokotorski zaliv sa puta ka tvrđavi Svetog Andrije iznad Perasta smješta ovu graviru u prostor tadašnje granice između Crne Gore i Austrougarske. U vrijeme njenog nastanka, komunikacije duž granice, vođene vrhovima planina koje nadvisuju Bokokotorski zaliv, još su bile aktivne i imale su vojno-strategijski značaj. Sa jedne od tih uzvišenih tačaka načinjen je crtež prema kojem je kasnije izrađena gravira u ateljeu Charlesa Barbanta u Parizu.

"		"Charles Barbant; Perast"				
"42.449672631763825, 18.532160117672955"	1552	"Pogled na Herceg Novi na ulazu u Boku"	"Eugène"	"Grandsire"	1877	"drvorez (gravure sur bois)"		"Les Bords de l’Adriatique et le Monténégro"		"Geoculture"	"Kompozicija prikazuje panoramski pogled na grad i zaliv s obale ili blagog uzvišenja, s naglaskom na geografske linije obale, topografske strukture i atmosferu mediteranskog svjetla.
Stil ilustracije kombinuje realistički precizan prikaz arhitekture i detalja šetališta s romantičnim naglaskom na svjetlosne efekte i perspektivu, što je karakteristično za ilustrativne radove putopisne prirode iz tog vremena. Gravira je izrađena u ateljeu Henri Théophile Hildibrand-a, jednog od najaktivnijih i najpouzdanijih izvođača reproduktivnih ilustracija u Francuskoj sredinom i u drugoj polovini XIX vijeka."		"Édouard Grandsire; Herceg Novi"				
"42.485158751312554, 18.700119716518945"	1553	"Verige (Bokokotorski zaliv)"	"Charles "	"Yriarte "	1877	"drvorez (gravure sur bois)"		"Les Bords de l’Adriatique et le Monténégro"		"Geoculture"	"Prolaz Verige je najuži dio Bokokotorskog zaliva, smješten između tjesnaca koji povezuje unutrašnje zalive sa otvorenijim dijelom Boke. Na tom mjestu zaliv se sužava na oko 300 metara, što je kroz istoriju imalo veliki strateški i pomorski značaj. Verige su služile kao prirodna kontrolna tačka plovidbe, a u prošlosti su tu postojali sistemi za fizičko zatvaranje prolaza lancima i fortifikacijama. Zbog svoje konfiguracije i dramatičnog pejzaža, prolaz Verige predstavlja jedan od ključnih topografskih i simboličkih motiva u istorijskim prikazima Boke Kotorske.
"		"Charles Yriarte; Verige"				
"42.486874,18.697261"	1554	"Ostrva Gospe od Škrpjela i Svetog Đorđa"	"Charles"	"Barbant"	1877	"drvorez (gravure sur bois)"		"Les Bords de l’Adriatique et le Monténégro"		"Geoculture"	"Primorski običaj Fašinada, star nekoliko vjekova, u Perastu se svake godine održava 22. jula, na dan početka gradnje ostrva Gospa od Škrpjela. Tada muškarci u barkama, okićenim zelenim granama, donose kamenje i polažu ga u more oko ostrva, simbolično učvršćujući njegove temelje. Tokom ovog drevnog rituala pjevaju se stare narodne pjesme – bugarštice.
Uvrštavanje ovakvog prizora u Yriarteovu knjigu svjedoči o njegovom izraženom etnološkom interesovanju: pored pejzaža i političkih događaja, autor bilježi i lokalne rituale i običaje, tretirajući ih kao ključne elemente identiteta prostora koji opisuje."		"Charles Barbant; Perast"				
"42.427076,18.768865"	1555	"Pogled na grad Kotor "	"Frédéric"	"Sorrieu"	1877	"drvorez (gravure sur bois)"		"Les Bords de l’Adriatique et le Monténégro"		"Geoculture"	"U knjizi Charlesa Yriartea Les Bords de l’Adriatique et le Monténégro Sorrieu je autor samo jednog crteža „Vue de la ville de Cattaro“, koji se izdvaja po ambicioznoj panoramskoj koncepciji i snažnom vizuelnom akcentovanju prirodnog i fortifikacionog okvira grada Kotora. "		"Frederic Sorrieu; Kotor"				
"42.386951794752804, 18.926557012397236"	1556	"Glavna ulica na Cetinju"	"T."	"Taylor (atrib.)"	1877	"drvorez (gravure sur bois)"		"Les Bords de l’Adriatique et le Monténégro"		"Geoculture"	"U ilustrovanim putopisnim knjigama XIX vijeka autorstvo vizuelnih priloga najčešće je podijeljeno između više aktera: autora crteža (dessinateur), gravera (graveur) i izdavačkog ateljea. Crtači su izrađivali predloške na osnovu terenskih skica, studijskih crteža ili fotografija, dok su graveri te predloške prevodili u grafičku matricu prilagođenu štampi. U mnogim slučajevima imena crtača i gravera sačuvana su samo kroz potpise na samim tablama, često bez punih biografskih podataka."		"T.Taylor; Cetinje"				
"42.387010451684944, 18.923434494176117"	1557	"Stari dvor (Konak), nekadašnja rezidencija crnogorskog kneza"	"T."	"Taylor (atrib.)"	1877	"drvorez (gravure sur bois)"		"Les Bords de l’Adriatique et le Monténégro"		"Geoculture"	"Pogled na Biljardu iz pozicije današnje Crkve na Ćipuru. Uočava se glavni ulaz na južnoj strani."		"T.Taylor; Cetinje"				
"42.38306259787598, 18.931781128291643"	1558	"Opšti pogled na Cetinje"	"T."	"Taylor (atrib.)"	1877	"drvorez (gravure sur bois)"		"Les Bords de l’Adriatique et le Monténégro"		"Geoculture"	"Crna Gora je dobila međunarodno priznanje 1878. godine, a gravira prikazuje Cetinje, prijestonicu države, približno u tom istorijskom trenutku. Prikaz naglašava skromne urbane razmjere tadašnjeg grada: na graviri se vidi, pored prepoznatljivog Manastira i Dvora, svega nekoliko kuća, raspoređenih u širokom, gotovo praznom pejzažu Cetinjskog polja. Ova scena ne samo da dokumentuje stvarni izgled Cetinja u kasnom XIX vijeku, već i vizuelno pojačava kontrast između političkog značaja koji grad dobija međunarodnim priznanjem i njegovog više nego skromnog urbaniteta.
"		"T.Taylor; Cetinje"				
"42.38665896943204, 18.92251616501079"	1559	"Cetinjski manastir, rezidencija crnogorskog mitropolita"	"T."	"Taylor (atrib.)"	1877	"drvorez (gravure sur bois)"		"Les Bords de l’Adriatique et le Monténégro"		"Geoculture"	"Gravira prikazuje Cetinjski manastir u njegovoj izvornoj istorijskoj prostornoj organizaciji, naglašavajući njegov izrazito fortifikacioni karakter. Odbrambena kula iznad manastira, poznata kao Tablja – nikada u potpunosti dovršena niti privedena namjeni – zajedno sa masivnim zidom na prednjoj strani, svjedoči o potrebi da sakralni kompleks istovremeno funkcioniše i kao odbrambena struktura. Kasnije uklanjanje tog zida, kako bi se formirao prostor za grobove članova vladarske porodice, dodatno potvrđuje višeslojnu istoriju manastira i njegovu promjenljivu ulogu u političkom i duhovnom životu Crne Gore.
"		"T.Taylor; Cetinje"				
"42.38795128113242, 18.92204928555446"	1560	"Cetinje: košnice u vrtu arhimandrita"	"T."	"Taylor (atrib.)"	1877	"drvorez (gravure sur bois)"		"Les Bords de l’Adriatique et le Monténégro"		"Geoculture"	"Scena sa košnicama u vrtu arhimandrita na Cetinju predstavlja neuobičajen motiv u kontekstu ilustrovanog političko-putopisnog izdanja kakvo je Yriarteovo. Umjesto panoramskog ili reprezentativnog prikaza prijestonice, gravira se fokusira na intiman, svakodnevni prizor koji ima obilježja žanr-scene."		"T.Taylor; Cetinje"				
"42.3871888118262, 18.923585516016267"	1561	"Mitropolit krsti kneževog sina na Cetinju"	"T."	"Taylor (atrib.)"	1877	"drvorez (gravure sur bois)"		"Les Bords de l’Adriatique et le Monténégro"		"Geoculture"	"Scena krštenja kneževog sina na Cetinju oblikovana je kao složena narativna kompozicija u kojoj religijski čin predstavlja okvir za šire društveno i političko značenje. Pažljivo razrađene narodne nošnje svjedoče o prisustvu različitih etničkih i kulturnih grupa, među kojima se mogu prepoznati i elementi muslimanske nošnje, čime se naglašava složenost društvenog tkiva Crne Gore u tom periodu. Posebno se izdvaja figura u savremenoj evropskoj odjeći na lijevoj strani kompozicije, prikazana u razgovoru s grupom Crnogoraca. Njena izdvojenost i stepen detaljnosti upućuju na mogućnost da predstavlja člana istraživačko-autorske ekipe, ili čak samog autora crteža. Ovaj motiv uvodi suptilan sloj samorefleksije, povezujući lokalni ritual sa evropskim pogledom koji ga bilježi i interpretira.
"		"T.Taylor; Cetinje"				
"42.38684833316529, 18.92278828568358"	1562	"Crnogorska konjica na cetinjskom polju"	"T."	"Taylor (atrib.)"	1877	"drvorez (gravure sur bois)"		"Les Bords de l’Adriatique et le Monténégro"		"Geoculture"	"Postrojena konjica prikazana je na livadi ispred Cetinjskog manastira, dok se u pozadini uzdiže Orlov krš, danas lako prepoznatljiv po mauzoleju Vladike Danila, koji u vrijeme nastanka crteža još nije postojao. Prizor istovremeno funkcioniše kao dokument vojničke organizacije i kao pejzažni kadar koji precizno locira događaj u prostoru tadašnjeg Cetinja.

Autor gravure je Charles Laplante (Pariz, 1834 – Pariz, 1897), francuski graver aktivan u Parizu u drugoj polovini XIX vijeka. Njegov rad odlikuju čista, kontrolisana linija i geometrizovana, gotovo fasetirana tekstura kojom modeluje pejzaž, dajući prizoru jasnu strukturu i naglašenu čitljivost prostora.
"		"T.Taylor; Cetinje"				
"42.2059245845697, 18.936465072395073"	1563	"Castel Lastua"	"Johann"	"Högelmüller"	1847	"litografija"	"30x22"	"Digitalne zbirke Nacionalne i sveučilišne knjižnice u Zagrebu"		"Digitalne zbirke Nacionalne i sveučilišne knjižnice u Zagrebu"	"Gravira Castel Lastva (današnji Petrovac) prikazuje naselje u trenutku kada se već jasno nazire uređena obalna linija i stabilna urbana struktura, neuobičajena za mnoge crnogorske primorske punktove tog vremena. Posebno je zanimljiv detalj brodića na desnoj strani: figure u njemu odjevene su u osmanske nošnje, što upućuje na neposrednu blizinu granice s tadašnjim Osmanskim carstvom. Kao oficir austrijske vojske, autor crteža bilježi taj granični karakter prostora kroz pažljivo odabrane figuralne detalje, koji vizuelno označavaju političku i kulturnu složenost ovog dijela jadranske obale."		"Johann Högelmüller; Petrovac"				
"42.447503840073, 18.76536693706166"	1564	"Crkva u Dobroti"	"Johann"	"Högelmüller"	1847	"litografija"	"30x23"	"Digitalne zbirke Nacionalne i sveučilišne knjižnice u Zagrebu"		"Digitalne zbirke Nacionalne i sveučilišne knjižnice u Zagrebu"	"Prikaz crkve Svetog Matije u Dobroti u tipičnoj atmosferi idealizovane vedute koje Bokokotorski zaliv predstavljaju kao prostor ravnoteže između prirode, arhitekture i ljudskog života."		"Johann Högelmüller; Kotor"				
"42.33398777613219, 18.831515811109057"	1565	"Stanjevići"	"Johann"	"Högelmüller"	1847	"litografija"	"30x24"	"Digitalne zbirke Nacionalne i sveučilišne knjižnice u Zagrebu"		"Digitalne zbirke Nacionalne i sveučilišne knjižnice u Zagrebu"	"Petar II Petrović Njegoš je 1837. prodao manastir Stanjevići Austrijskoj monarhiji iz finansijskih i političkih razloga. Crnogorska država je tada bila u teškoj materijalnoj situaciji, a manastir se nalazio van efektivne teritorijalne kontrole Crne Gore, u zoni snažnog austrijskog pritiska. Prodaja je bila dio Njegoševih pragmatičnih pokušaja da stabilizuje državne finansije i odnose s velikom silom na granici. Johann Högelmüller, oficir austrijske vojske i slikar-amater, dolazi u manastir upravo u tom periodu, bilježeći ga iz perspektive nove vojne uprave. Na njegovim prikazima jasno se uočavaju arhitektonske intervencije: dogradnja odbrambene kule i prilagođavanje postojećih struktura fortifikacionim potrebama."						
"42.43726260397295, 18.85143330542842"	1566	"Katunska nahija"	"Petar"	"Lubarda"		"akvarel/olovka"					"Pogled na katunsku nahiju, čuveni  kameno more. Jedna od niza sličnih skica sa iste pozicije koje je umjetnik tokom više godina razvijao. Na osnovu njih su izrađeno više slika."						
"42.398428517285765, 18.84346853337768"	1567	"Lovćen"	"Petar"	"Lubarda"		"akvarel/olovka"					"Jezerski vrh prikazan je u svojoj simboličkoj, gotovo apstraktnoj formi. Ne postoji tačna tačka iz koje se ovaj vrh može sagledati na ovakav način; umjetnik ga stilizuje u ikoničnu siluetu, oslanjajući se više na mentalnu predstavu pejzaža nego na njegovu doslovnu, topografsku pojavnost."						
"42.362825392068885, 19.05770471036182"	1568	"Pogled na Skadarsko jezero"	"Petar"	"Lubarda"		"pastel"					"Jedna od niza skica s prikazom jednog od ikoničnih crnogorskih pejzaža — pogled na Skadarsko jezero s Pavlove strane. Nastao vjerovatno između 1947. i 1949. godine, ovaj crtež još uvijek zadržava topografsku tačnost i proporcionalnost prikazanih elemenata, dok je nagovještaj kolorističkih promjena već prisutan. Ubrzo će se isti motiv pojaviti u znatno apstraktnijoj formi."						
"42.42078611422812, 18.794414087192823"	1569	"Pogled s Krsca"	"Petar"	"Lubarda"		"pastel"					"Zanimljiva skica koja nastoji da riješi složen slikarski problem — prikaz izrazitog kontrasta svjetla, s direktnim suncem  koje probija kroz guste slojeve oblaka. Svjetlosni događaj razvijen je dramatično i gotovo eksplozivno na nebu, gdje se sudaraju topli i hladni tonovi, dok je stjenoviti pejzaž u donjoj zoni sveden na tamne, masivne forme. Reljef je tek naznačen, gotovo apstrahovan, podređen snažnom kolorističkom ritmu i energetskom naboju svjetlosti."						
"42.42232711086922, 18.774626287343708"	1570	"Put Njeguši Kotor"	"Petar"	"Lubarda"		"pastel"					"Pogled na put ka Njegušima sa Tvrđave Svetog Ivana sveden je na snažan, gotovo apstraktan zapis krševitog reljefa. Krivudava linija starog pješačkog puta presijeca masiv stijena i postaje glavni nosilac kompozicije, naglašavajući dramatičan pad terena i izražen osjećaj dubine. Koloristički kontrasti toplih okera i hladnih plavičastih tonova dodatno pojačavaju napetost prizora. Prostor je lišen topografske preciznosti u korist izražajnosti i unutrašnje dinamike pejzaža. Ovaj i slični motivi iz primorja i Boke rijetko će se ponavljati u Lubardinom djelu."						
"42.45569334248015, 18.527103322189998"	1571	"Škola u Toploj"	"Petar"	"Lubarda"		"akvarel"					"Njegoševa škola u Toploj prikazana je u toploj tonalnosti, kao jednostavan i neposredan zapis urbane arhitekture. Bez posebnih likovnih akcenata ili naglašene dramatizacije, prizor ostaje sveden i gotovo intiman. Kao motiv, ova građevina zanimljiva je umjetnicima prije svega zbog simboličkog značenja njenog najpoznatijeg učenika."						
"42.4026217288267, 18.899495197777"	1572	"Bajice"	"Milo"	"Milunović"		"akvarel"					"Nepretenciozna i izuzetno tačna reprezentacija pejzaža, izvedena ekspresivno i slobodno. Uprkos svedenoj tehnici i prividnoj jednostavnosti, crtež precizno hvata prostorne odnose i svjetlosne vrijednosti prizora. Siguran potez i ekonomija izraza svjedoče o zrelom likovnom jeziku autora u kojem se realistička opažajnost prirodno spaja sa ličnim doživljajem pejzaža."						
"42.4536597048773, 18.748956175615348"	1573	"Prčanj"	"Milo"	"Milunović"		"akvarel"					"Pogled sa mula ispod Župne crkve u Prčanju, u pravcu zapada prema Stolivu, prikazan je kroz smirenu, gotovo intimnu kompoziciju. Arhitektura uz obalu svedena je na osnovne volumene i plohe boje, dok planinski masiv u pozadini zatvara prostor mekim, svjetlosno ublaženim obrisima."						
"42.42983299141277, 18.826976388655645"	1574	"Njeguši"	"Petar"	"Lubarda"		"akvarel"					"Pogled na grupu kuća u Raičevićima. "						
"42.774510841225585, 18.942997630713208"	1432	"Nikšić"	"J."	"Frey"		"drvorez"					"Pogled na Nikšićki bedem"						
"42.38816808042282, 18.921721873574906"	1431	"Cetinje"	"Adolf"	"Chelius"	"nakon 1896"						"Prikaz predstavlja Cetinje iz pozicije iznad Cetinjskog manastira sa Biljardom u prvom planu, pravilnom urbanom matricom i planinskim vijencem u pozadini. Cheliusov akademski pristup oogleda se u tačnom rasporedu arhitekture, jasnoći prostora i dokumentarnom karakteru prizora. Slika funkcioniše kao vizuelni zapis grada u periodu njegove modernizacije krajem 19. vijeka, gdje je estetska komponenta podređena vjerodostojnosti i preglednosti cjeline."						
"42.4220534033027, 18.762703128319302"	1108	"Pogled na grad i tvrđavu Kotor"	"Agostino"	"Spadoni"	1827						"Puni naziv slike je: Pogled na grad i tvrđavu Kotor u Austrijskoj Albaniji, posvećen uvaženom gospodinu Josipu Vranoviću. Iako bez posebne umjetničke vrijednosti ova predstava Kotora teži tačnosti sadržaja. Mogu se jasno prepoznati pojedini objekti koji postoje i danas."						
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
